Company,Date,ESG Score,ESG Combined Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
LOW.N,1/31/2014,75.20399959,75.20399959,100,74.4047619,91.55844156,60.20408163,81.77966102,58.95522388,90.43478261,87.93103448,71.31742739,59.28423237,53.432282
LOW.N,2/1/2013,61.19451654,61.19451654,100,69.64285714,85.81081081,64.58333333,64.22413793,46.82539683,93.36283186,60.97560976,35.76604555,82.76397516,40.69343066
LOW.N,2/3/2012,69.00846333,69.00846333,85,78.39506173,94.07894737,70,56.19469027,50,94.90740741,60.625,61.93181818,83.05785124,41.94139194
LOW.N,1/28/2011,50.7963073,50.7963073,80,78.47222222,82.8358209,70.45454545,72.42990654,0,99.52380952,15.2173913,24.74489796,78.21428571,31.73996176
LOW.N,1/29/2010,51.92487625,51.92487625,97.36842105,76.86567164,83.06451613,66.66666667,74.01960784,0,98.51485149,19.11764706,31.73562059,65.13622603,34.2
LOW.N,1/30/2009,46.83156793,46.83156793,92.30769231,74.10714286,82.0754717,62.12121212,78.48837209,0,88.82352941,23.63636364,9.086188993,80.01038422,39.61625282
LRCX.OQ,6/30/2019,66.37386868,66.37386868,100,95.73643411,90.72580645,34.69387755,82.25806452,59.6,90,88.54166667,31.35087719,69.80701754,69.83471074
LRCX.OQ,6/24/2018,67.1039232,67.1039232,100,92.85714286,83.7962963,35.22727273,85.66176471,48.24561404,90.07352941,88.54961832,47.44340359,75.70257611,67.82178218
LRCX.OQ,6/25/2017,62.68529551,62.68529551,100,85.77981651,81.95876289,35,77.30769231,55.44554455,23.46153846,97.95081967,54.17503011,73.80570052,69.37765205
LRCX.OQ,6/26/2016,59.86584781,59.86584781,100,65.46391753,80.55555556,33.33333333,60.96491228,56.98924731,21.49122807,98.16513761,62.39776152,65.2389152,69.69230769
LRCX.OQ,6/28/2015,53.89028913,53.89028913,100,54.06976744,73.71794872,36.30136986,63.5,45.39473684,62.5,97.87234043,21.11318408,76.46144279,69.58333333
LRCX.OQ,6/29/2014,48.27146476,48.27146476,100,65.24390244,63.33333333,36.98630137,45.10869565,54.54545455,25.82417582,97.15909091,13.12240664,72.76970954,53.432282
LRCX.OQ,6/30/2013,48.7806156,48.7806156,100,50.625,52.73972603,36.11111111,63.18681319,55.64516129,38.20224719,96.47058824,14.02691511,70.54865424,53.19343066
LRCX.OQ,6/24/2012,34.76918351,34.76918351,100,45.625,50.67567568,0,45.10869565,70.37037037,24.15730337,29.16666667,10.3822314,52.84090909,28.2967033
LRCX.OQ,6/26/2011,38.38329156,38.38329156,100,46.71052632,52.08333333,0,43.40659341,75.6097561,12.20930233,14.45783133,28.41836735,87.39795918,31.73996176
LRCX.OQ,6/27/2010,22.08348881,22.08348881,100,25.65789474,33.57142857,0,42.47311828,0,31.86813187,14.88095238,23.86478305,77.64883956,0
LUV.N,12/31/2019,67.08671119,56.75764131,46.42857143,86.18421053,96.79487179,50,71.34831461,66.66666667,94.94382022,60.84337349,29.52631579,66.26315789,85.22727273
LUV.N,12/31/2018,68.86425821,68.86425821,93.47826087,89.28571429,96.62162162,50,77.3255814,78.07017544,93.60465116,61.03896104,29.48868072,73.04839969,67.82178218
LUV.N,12/31/2017,63.03902326,63.03902326,100,88.80597015,94.92753623,50,81.875,30.20833333,96.875,23.23943662,30.44961863,77.98073063,69.37765205
LUV.N,12/31/2016,60.84306464,49.86597677,38.88888889,94.16666667,94.26229508,0,92.36111111,41.02564103,95.13888889,25,38.54928971,77.4214378,69.69230769
LUV.N,12/31/2015,58.37816342,40.43908171,22.5,91.96428571,93.39622642,0,86.02941176,46.875,94.85294118,31.89655172,25.09328358,78.76243781,69.58333333
LUV.N,12/31/2014,63.28312343,46.41428899,29.54545455,90.625,68.47826087,0,90.17857143,50,95.53571429,42.15686275,56.89834025,81.69087137,86.45640074
LUV.N,12/31/2013,60.92476872,60.92476872,86.36363636,88.7755102,88.04347826,0,79.46428571,52,97.32142857,50,35.86956522,79.03726708,85.03649635
LUV.N,12/31/2012,60.25806498,47.52033684,34.7826087,88.7755102,86.45833333,0,89.81481481,56.25,97.22222222,21.69811321,38.58471074,67.40702479,85.53113553
